"","also","back","can","day","get","look","may","million","now","one","said","take","thing","think","year","around","come","includ","will","last","make","time","week","major"
"cars_01.txt",2,3,3,1,3,2,3,1,5,2,1,2,3,4,1,0,0,0,0,0,0,0,0,0
"cars_02.txt",0,0,1,1,1,0,1,2,0,3,2,1,1,1,1,2,1,2,4,0,0,0,0,0
"cars_03.txt",3,14,23,2,4,2,0,0,2,3,0,1,1,1,1,0,0,0,1,2,8,3,2,0
"cars_04.txt",4,1,2,0,0,1,2,1,12,1,3,1,1,1,1,0,4,2,0,1,0,3,0,0
"cars_05.txt",3,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,2,0,2,0,0,0,3,1
"cars_06.txt",1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
"cars_07.txt",3,0,11,2,1,2,0,1,1,4,1,2,2,0,3,2,0,2,8,1,3,2,0,1
"crypto_01.txt",2,0,2,0,0,1,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2
"crypto_02.txt",1,2,0,1,0,0,0,2,0,1,1,0,0,0,1,2,1,0,0,0,1,1,1,1
"crypto_03.txt",3,2,4,0,0,3,8,2,4,1,0,0,3,2,2,2,3,1,0,1,2,2,2,4
"crypto_04.txt",0,1,4,1,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0
"crypto_05.txt",0,2,4,0,1,1,1,1,2,3,0,0,0,1,4,0,0,1,1,1,0,0,0,1
"crypto_06.txt",1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,2,2,1,3,2,2,1,0,1
"crypto_07.txt",5,1,0,0,1,0,0,5,0,2,11,1,0,0,2,1,0,2,0,1,0,1,3,0
"golf_01.txt",1,1,2,2,4,1,0,4,4,1,0,2,1,3,8,1,1,0,4,1,2,2,1,1
"golf_02.txt",2,0,3,1,0,0,0,0,0,0,5,0,1,1,0,0,2,0,8,2,0,3,1,0
"golf_03.txt",2,0,1,2,0,0,2,4,1,1,1,1,0,2,2,1,1,1,5,0,1,3,11,6
"golf_04.txt",0,1,0,0,1,2,1,0,1,0,3,0,1,1,3,0,1,0,2,1,0,1,2,1
"golf_05.txt",0,1,0,0,0,0,1,0,1,6,0,1,1,0,4,0,1,1,2,1,1,2,1,2
"golf_06.txt",1,0,0,1,0,1,0,0,2,4,0,0,2,2,0,1,0,0,0,0,1,0,0,0
"golf_07.txt",2,4,0,5,4,1,1,0,1,6,4,3,0,1,2,1,1,3,0,0,2,4,6,11
